iter	RMSE
0	14.16228807
1	13.85691568
2	13.62632828
3	13.36419662
4	13.11008852
5	12.8746484
6	12.62397078
7	12.39194192
8	12.15935551
9	11.95537624
10	11.72024079
11	11.48304013
12	11.29160357
13	11.09635412
14	10.91050575
15	10.71839714
16	10.56030697
17	10.40763407
18	10.24531088
19	10.09773664
20	9.945085577
21	9.804717251
22	9.660010284
23	9.510118717
24	9.385795274
25	9.250444064
26	9.110393565
27	8.985218518
28	8.870700527
29	8.752432031
30	8.635547174
31	8.537922497
32	8.43181463
33	8.323017699
34	8.227178113
35	8.143098227
36	8.048910432
37	7.960512362
38	7.873698723
39	7.793081096
40	7.71290924
41	7.635937941
42	7.557587316
43	7.482961546
44	7.405662469
45	7.32531894
46	7.247787794
47	7.168318021
48	7.101225013
49	7.04456852
50	6.982395125
51	6.919313696
52	6.859506401
53	6.799563756
54	6.743616613
55	6.67193933
56	6.622007211
57	6.575027141
58	6.524710097
59	6.47675881
60	6.422997696
61	6.376121042
62	6.332113632
63	6.28983924
64	6.248253489
65	6.193462663
66	6.158225013
67	6.118929422
68	6.079531842
69	6.037107557
70	5.996187039
71	5.959864005
72	5.926407329
73	5.887826176
74	5.850780213
75	5.812531688
76	5.778473497
77	5.749925375
78	5.712018014
79	5.681152151
80	5.651789547
81	5.621180493
82	5.596480087
83	5.580051258
84	5.553562955
85	5.528872597
86	5.499223638
87	5.469562815
88	5.441475386
89	5.413100332
90	5.385738149
91	5.354201524
92	5.323955495
93	5.291953292
94	5.267326981
95	5.236662814
96	5.211133262
97	5.185398106
98	5.161631583
99	5.139471509
100	5.113221231
101	5.094077208
102	5.070885733
103	5.045999749
104	5.023593564
105	5.005960004
106	4.983279353
107	4.952510715
108	4.93969427
109	4.920887055
110	4.900003665
111	4.882095693
112	4.863942618
113	4.844649302
114	4.822710118
115	4.800115478
116	4.782153541
117	4.760494326
118	4.74245635
119	4.729299623
120	4.713761884
121	4.700878238
122	4.676880703
123	4.652017995
124	4.627747105
125	4.612117042
126	4.593204324
127	4.571120999
128	4.55444255
129	4.52982984
130	4.517849241
131	4.494457652
132	4.47500188
133	4.46419851
134	4.441641127
135	4.431850409
136	4.417002008
137	4.403981211
138	4.383420233
139	4.369251675
140	4.356789065
141	4.343935415
142	4.337330696
143	4.321362375
144	4.303848395
145	4.288610303
146	4.272776032
147	4.256977563
148	4.243872812
149	4.228648
150	4.219223243
151	4.205780338
152	4.188208988
153	4.16374127
154	4.15044263
155	4.132653962
156	4.119177885
157	4.103805788
158	4.088575149
159	4.076641148
160	4.06127043
161	4.051852011
162	4.043575071
163	4.029362456
164	4.018067332
165	4.004408374
166	3.989604766
167	3.968911343
168	3.961541969
169	3.949629866
170	3.936841873
171	3.923965962
172	3.915964162
173	3.90473242
174	3.895900376
175	3.887047851
176	3.879873267
177	3.868363876
178	3.853970157
179	3.841136624
180	3.834331161
181	3.823412673
182	3.811781182
183	3.804498335
184	3.793267462
185	3.783951006
186	3.768802149
187	3.749365218
188	3.739616943
189	3.724444782
190	3.713793159
191	3.707029544
192	3.695320077
193	3.685935256
194	3.677435129
195	3.655667543
196	3.6469486
197	3.635289688
198	3.626671489
199	3.610649919
200	3.599274757
201	3.57784261
202	3.567309747
203	3.560591928
204	3.55305649
205	3.538358058
206	3.530080591
207	3.52182028
208	3.513187227
209	3.503149321
210	3.493201488
211	3.48626912
212	3.475258098
213	3.464630938
214	3.45402201
215	3.442865616
216	3.435042519
217	3.425551466
218	3.417653036
219	3.407085445
220	3.397179591
221	3.386151772
222	3.376784077
223	3.367712902
224	3.360847055
225	3.355282985
226	3.34312297
227	3.334558073
228	3.327186313
229	3.318297268
230	3.309685759
231	3.297149914
232	3.288352582
233	3.280100136
234	3.268736351
235	3.24998913
236	3.241489065
237	3.23542827
238	3.226410043
239	3.214273151
240	3.208632307
241	3.195524111
242	3.182570303
243	3.171868413
244	3.155454688
245	3.15025667
246	3.13422508
247	3.121716543
248	3.112877244
249	3.107625269
250	3.09945114
251	3.091670337
252	3.079660943
253	3.073005058
254	3.06294969
255	3.047060301
256	3.040892917
257	3.031277975
258	3.023479436
259	3.014986407
260	3.009541332
261	3.001620221
262	2.997236233
263	2.991396914
264	2.983379291
265	2.977179993
266	2.97325067
267	2.966978633
268	2.958936728
269	2.955005317
270	2.949970684
271	2.945608417
272	2.939714323
273	2.933216861
274	2.917725292
275	2.910145851
276	2.895650795
277	2.890097693
278	2.884502803
279	2.872716866
280	2.868312962
281	2.862525432
282	2.855481262
283	2.849224978
284	2.840621976
285	2.835867567
286	2.830962812
287	2.824530864
288	2.821211271
289	2.817014681
290	2.810954807
291	2.807355704
292	2.792099386
293	2.78947596
294	2.784285094
295	2.779631545
296	2.775039399
297	2.770590333
298	2.76374663
299	2.76124666
300	2.758709098
301	2.755083179
302	2.747946766
303	2.747606037
304	2.744831321
305	2.743260035
306	2.73605395
307	2.732764477
308	2.7197117
309	2.713467721
310	2.709280574
311	2.705662116
312	2.692734503
313	2.682065526
314	2.678922742
315	2.673413022
316	2.67023249
317	2.664052363
318	2.658865481
319	2.65329125
320	2.652957725
321	2.642619372
322	2.632509682
323	2.620908612
324	2.617700191
325	2.611579295
326	2.610340264
327	2.606705376
328	2.601234171
329	2.596007573
330	2.592748424
331	2.588449177
332	2.583420576
333	2.579459386
334	2.576377039
335	2.573134367
336	2.564784558
337	2.560854102
338	2.552501971
339	2.549190337
340	2.546268142
341	2.542919495
342	2.533239205
343	2.524031449
344	2.521152843
345	2.514440531
346	2.511216998
347	2.508223375
348	2.505052738
349	2.493260267
350	2.489142509
351	2.484139999
352	2.482990621
353	2.479408223
354	2.470768831
355	2.4662404
356	2.461842062
357	2.45772926
358	2.457260157
359	2.448871634
360	2.441266549
361	2.435556513
362	2.433261765
363	2.43038452
364	2.427834244
365	2.420483769
366	2.415868241
367	2.41249165
368	2.410158512
369	2.404920366
370	2.396912777
371	2.394398835
372	2.391092633
373	2.38341999
374	2.380349466
375	2.37753006
