iter	Passed	Remaining
0	1	1245
1	1	796
2	2	677
3	2	629
4	3	608
5	3	568
6	3	538
7	4	512
8	4	514
9	5	496
10	5	484
11	5	478
12	6	478
13	6	482
14	7	474
15	7	470
16	7	458
17	8	460
18	8	463
19	9	457
20	9	450
21	10	446
22	10	442
23	10	436
24	11	433
25	11	428
26	11	424
27	12	422
28	12	418
29	12	417
30	13	418
31	13	413
32	13	409
33	14	406
34	14	403
35	14	400
36	15	398
37	15	396
38	15	393
39	16	393
40	16	390
41	16	387
42	17	390
43	17	387
44	18	388
45	18	390
46	19	387
47	19	388
48	20	390
49	20	392
50	21	392
51	21	391
52	22	393
53	22	392
54	22	391
55	23	390
56	23	387
57	23	385
58	24	384
59	24	382
60	24	381
61	25	380
62	25	379
63	25	378
64	26	376
65	26	376
66	26	375
67	27	373
68	27	375
69	28	374
70	28	373
71	29	374
72	29	375
73	29	375
74	30	373
75	30	372
76	31	371
77	31	372
78	31	372
79	32	371
80	32	370
81	33	370
82	33	369
83	33	366
84	34	366
85	34	364
86	34	363
87	35	362
88	35	361
89	35	360
90	36	359
91	36	358
92	36	357
93	37	357
94	37	358
95	38	358
96	38	357
97	38	357
98	39	357
99	39	357
100	40	356
101	40	354
102	40	354
103	41	353
104	41	352
105	41	351
106	41	350
107	42	348
108	42	347
109	42	345
110	43	344
111	43	343
112	43	342
113	43	341
114	44	340
115	44	338
116	44	337
117	45	336
118	45	336
119	45	335
120	46	334
121	46	333
122	46	332
123	46	331
124	47	330
125	47	329
126	47	328
127	48	328
128	48	329
129	49	330
130	49	330
131	50	331
132	50	330
133	51	330
134	51	329
135	51	328
136	52	328
137	52	328
138	52	327
139	53	327
140	53	326
141	54	326
142	54	327
143	54	326
144	55	326
145	55	327
146	56	327
147	56	327
148	57	327
149	57	326
150	58	327
151	58	326
152	58	326
153	59	325
154	59	324
155	59	323
156	60	323
157	60	322
158	60	322
159	61	321
160	61	320
161	62	321
162	62	321
163	62	320
164	63	319
165	63	319
166	63	318
167	64	318
168	64	318
169	65	317
170	65	317
171	65	316
172	65	315
173	66	314
174	66	313
175	67	314
176	67	314
177	67	313
178	68	313
179	68	313
180	69	313
181	69	312
182	69	312
183	70	311
184	70	310
185	70	310
186	71	310
187	71	309
188	71	308
189	72	307
190	72	307
191	72	306
192	73	306
193	73	305
194	74	305
195	74	304
196	74	304
197	75	304
198	75	303
199	75	303
200	76	302
201	76	302
202	76	301
203	77	301
204	77	300
205	77	300
206	78	299
207	78	299
208	79	299
209	79	298
210	79	298
211	80	298
212	80	297
213	80	297
214	81	296
215	81	295
216	81	295
217	82	294
218	82	294
219	83	294
220	83	294
221	83	293
222	84	292
223	84	292
224	84	292
225	85	291
226	85	290
227	85	289
228	86	289
229	86	288
230	86	288
231	86	287
232	87	287
233	87	286
234	87	285
235	88	285
236	88	284
237	88	284
238	89	283
239	89	282
240	89	282
241	89	281
242	90	280
243	90	280
244	90	279
245	91	279
246	91	278
247	91	278
248	92	277
249	92	277
250	92	277
251	93	276
252	93	276
253	93	275
254	94	275
255	94	274
256	94	274
257	95	274
258	95	273
259	96	273
260	96	273
261	97	273
262	97	272
263	97	272
264	98	272
265	98	271
266	98	271
267	99	271
268	99	271
269	100	271
270	100	270
271	100	270
272	101	270
273	101	270
274	102	269
275	102	268
276	102	268
277	103	267
278	103	267
279	103	266
280	104	266
281	104	265
282	104	265
283	105	265
284	105	265
285	106	264
286	106	264
287	106	263
288	106	263
289	107	262
290	107	262
291	108	262
292	108	262
293	108	261
294	109	260
295	109	260
296	109	260
297	110	259
298	110	259
299	110	258
300	111	258
301	111	257
302	111	256
303	112	256
304	112	256
305	113	256
306	113	256
307	113	256
308	114	256
309	115	256
310	115	255
311	115	255
312	116	254
313	116	254
314	116	253
315	117	253
316	117	253
317	118	253
318	118	253
319	118	252
320	119	252
321	119	251
322	119	251
323	120	251
324	120	250
325	120	250
326	121	249
327	121	249
328	121	248
329	122	248
330	122	248
331	123	248
332	123	248
333	124	247
334	124	247
335	125	247
336	125	247
337	126	247
338	127	247
339	127	247
340	127	247
341	128	246
342	128	246
343	128	245
344	129	245
345	129	244
346	129	244
347	129	243
348	130	242
349	130	242
350	131	242
351	131	241
352	131	241
353	132	241
354	132	240
355	132	240
356	133	240
357	133	239
358	134	239
359	134	239
360	134	238
361	135	238
362	135	237
363	135	237
364	136	237
365	136	236
366	137	236
367	137	236
368	137	235
369	138	235
370	138	234
371	138	234
372	139	233
373	139	233
374	139	232
375	140	232
376	140	231
377	140	231
378	141	231
379	141	230
380	141	230
381	142	229
382	142	229
383	142	228
384	143	228
385	143	228
386	143	227
387	143	227
388	144	226
389	144	226
390	145	226
391	146	226
392	146	225
393	146	225
394	147	225
395	147	224
396	147	224
397	147	223
398	148	223
399	148	222
400	148	222
401	149	221
402	149	221
403	150	221
404	150	221
405	151	221
406	151	220
407	151	220
408	152	219
409	152	219
410	152	219
411	153	218
412	153	218
413	153	217
414	154	217
415	154	216
416	154	216
417	155	216
418	156	216
419	156	216
420	157	215
421	157	215
422	157	215
423	158	215
424	158	214
425	158	214
426	159	213
427	159	213
428	159	212
429	160	212
430	160	212
431	161	211
432	161	211
433	162	211
434	162	210
435	162	210
436	162	209
437	163	209
438	163	208
439	163	208
440	164	208
441	164	207
442	164	207
443	165	206
444	165	206
445	166	206
446	166	206
447	166	205
448	167	205
449	167	204
450	167	204
451	168	203
452	168	203
453	169	203
454	169	202
455	169	202
456	170	202
457	170	201
458	170	201
459	171	200
460	171	200
461	172	200
462	172	200
463	172	199
464	173	199
465	173	198
466	174	198
467	174	198
468	174	197
469	175	197
470	175	197
471	175	196
472	176	196
473	176	196
474	177	195
475	177	195
476	177	194
477	177	194
478	178	193
479	178	193
480	179	193
481	179	192
482	179	192
483	180	191
484	180	191
485	181	191
486	181	191
487	181	190
488	182	190
489	182	189
490	183	189
491	183	189
492	183	189
493	184	188
494	184	188
495	184	187
496	185	187
497	185	186
498	185	186
499	185	185
500	186	185
501	186	185
502	186	184
503	187	184
504	187	183
505	187	183
506	187	182
507	188	182
508	188	181
509	188	181
510	188	180
511	189	180
512	189	179
513	189	179
514	190	178
515	190	178
516	190	178
517	190	177
518	191	177
519	191	176
520	191	176
521	192	175
522	192	175
523	192	175
524	192	174
525	193	174
526	193	173
527	193	173
528	194	172
529	194	172
530	194	171
531	194	171
532	195	170
533	195	170
534	195	170
535	195	169
536	196	169
537	196	168
538	196	168
539	197	167
540	197	167
541	197	167
542	198	166
543	198	166
544	198	165
545	199	165
546	199	165
547	199	164
548	199	164
549	200	163
550	200	163
551	200	162
552	200	162
553	201	161
554	201	161
555	201	161
556	201	160
557	202	160
558	202	160
559	203	159
560	203	159
561	203	158
562	204	158
563	204	158
564	204	157
565	205	157
566	205	156
567	205	156
568	206	156
569	206	155
570	206	155
571	206	154
572	207	154
573	207	153
574	207	153
575	207	153
576	208	152
577	208	152
578	208	151
579	209	151
580	209	151
581	209	150
582	209	150
583	210	149
584	210	149
585	210	148
586	211	148
587	211	148
588	211	147
589	212	147
590	212	146
591	212	146
592	212	146
593	213	145
594	213	145
595	213	144
596	213	144
597	214	143
598	214	143
599	214	143
600	214	142
601	215	142
602	215	141
603	215	141
604	216	141
605	216	140
606	216	140
607	217	139
608	217	139
609	217	139
610	217	138
611	218	138
612	218	137
613	218	137
614	218	136
615	218	136
616	219	136
617	219	135
618	219	135
619	219	134
620	220	134
621	220	133
622	220	133
623	220	133
624	221	132
625	221	132
626	221	131
627	221	131
628	222	131
629	222	130
630	222	130
631	223	130
632	223	129
633	223	129
634	224	128
635	224	128
636	224	128
637	224	127
638	225	127
639	225	126
640	225	126
641	226	126
642	226	125
643	226	125
644	227	124
645	227	124
646	227	124
647	227	123
648	228	123
649	228	122
650	228	122
651	229	122
652	229	122
653	229	121
654	230	121
655	230	120
656	230	120
657	230	120
658	231	119
659	231	119
660	231	118
661	231	118
662	232	118
663	232	117
664	232	117
665	233	116
666	233	116
667	233	116
668	234	115
669	234	115
670	234	115
671	235	114
672	235	114
673	235	113
674	235	113
675	236	113
676	236	112
677	236	112
678	236	112
679	237	111
680	237	111
681	237	110
682	238	110
683	238	110
684	238	109
685	238	109
686	239	108
687	239	108
688	239	108
689	240	107
690	240	107
691	240	107
692	240	106
693	241	106
694	241	105
695	241	105
696	241	105
697	242	104
698	242	104
699	242	104
700	243	103
701	243	103
702	243	102
703	243	102
704	244	102
705	244	101
706	244	101
707	245	101
708	245	100
709	245	100
710	245	99
711	246	99
712	246	99
713	246	98
714	247	98
715	247	98
716	247	97
717	248	97
718	248	97
719	248	96
720	249	96
721	249	95
722	249	95
723	249	95
724	250	94
725	250	94
726	250	94
727	250	93
728	251	93
729	251	93
730	251	92
731	252	92
732	252	91
733	252	91
734	253	91
735	253	90
736	253	90
737	253	90
738	254	89
739	254	89
740	254	89
741	255	88
742	255	88
743	255	87
744	255	87
745	256	87
746	256	86
747	256	86
748	257	86
749	257	85
750	257	85
751	257	85
752	258	84
753	258	84
754	258	83
755	258	83
756	259	83
757	259	82
758	259	82
759	260	82
760	260	81
761	260	81
762	261	81
763	261	80
764	261	80
765	262	80
766	262	79
767	262	79
768	263	79
769	263	78
770	263	78
771	264	78
772	264	77
773	264	77
774	265	76
775	265	76
776	265	76
777	266	75
778	266	75
779	266	75
780	267	74
781	267	74
782	267	74
783	268	73
784	268	73
785	268	73
786	268	72
787	269	72
788	269	72
789	269	71
790	269	71
791	270	70
792	270	70
793	270	70
794	271	69
795	271	69
796	271	69
797	272	68
798	272	68
799	272	68
800	273	67
801	273	67
802	273	67
803	273	66
804	274	66
805	274	66
806	274	65
807	275	65
808	275	65
809	275	64
810	275	64
811	276	63
812	276	63
813	276	63
814	276	62
815	277	62
816	277	62
817	277	61
818	278	61
819	278	61
820	278	60
821	278	60
822	279	60
823	279	59
824	279	59
825	280	59
826	280	58
827	280	58
828	280	57
829	281	57
830	281	57
831	281	56
832	281	56
833	282	56
834	282	55
835	282	55
836	282	55
837	283	54
838	283	54
839	283	54
840	284	53
841	284	53
842	284	53
843	284	52
844	285	52
845	285	51
846	285	51
847	285	51
848	286	50
849	286	50
850	286	50
851	287	49
852	287	49
853	287	49
854	287	48
855	288	48
856	288	48
857	288	47
858	289	47
859	289	47
860	289	46
861	290	46
862	290	46
863	290	45
864	290	45
865	291	45
866	291	44
867	291	44
868	291	44
869	292	43
870	292	43
871	292	42
872	292	42
873	293	42
874	293	41
875	293	41
876	294	41
877	294	40
878	294	40
879	295	40
880	295	39
881	295	39
882	295	39
883	296	38
884	296	38
885	296	38
886	296	37
887	297	37
888	297	37
889	298	36
890	298	36
891	298	36
892	299	35
893	299	35
894	299	35
895	300	34
896	300	34
897	300	34
898	301	33
899	301	33
900	301	33
901	301	32
902	302	32
903	302	32
904	302	31
905	303	31
906	303	31
907	303	30
908	304	30
909	304	30
910	304	29
911	304	29
912	305	29
913	305	28
914	305	28
915	305	28
916	306	27
917	306	27
918	306	27
919	307	26
920	307	26
921	307	26
922	307	25
923	308	25
924	308	25
925	308	24
926	308	24
927	309	23
928	309	23
929	309	23
930	310	22
931	310	22
932	310	22
933	310	21
934	311	21
935	311	21
936	312	20
937	312	20
938	312	20
939	312	19
940	313	19
941	313	19
942	313	18
943	314	18
944	314	18
945	314	17
946	314	17
947	315	17
948	315	16
949	315	16
950	316	16
951	316	15
952	316	15
953	316	15
954	317	14
955	317	14
956	317	14
957	318	13
958	318	13
959	318	13
960	318	12
961	319	12
962	319	12
963	319	11
964	319	11
965	320	11
966	320	10
967	320	10
968	321	10
969	321	9
970	321	9
971	322	9
972	322	8
973	322	8
974	322	8
975	323	7
976	323	7
977	323	7
978	323	6
979	324	6
980	324	6
981	324	5
982	325	5
983	325	5
984	325	4
985	326	4
986	326	4
987	326	3
988	326	3
989	327	3
990	327	2
991	327	2
992	328	2
993	328	1
994	328	1
995	329	1
996	329	0
997	329	0
998	330	0
999	330	0
