date,关键词,日期_x,PC+移动端,PC端,移动端,日期_y,最高温,最低温,天气1,天气2,风向,风力,空气质量,质量等级
32,冰雪大世界,20231101,1228,344,884,2023-11-01 周三,4.0,-1.0,3,2,1,1,45,1
33,冰雪大世界,20231102,1024,357,667,2023-11-02 周四,12.0,-4.0,4,2,6,2,72,2
34,冰雪大世界,20231103,1043,288,755,2023-11-03 周五,0.0,-9.0,2,1,8,3,31,1
35,冰雪大世界,20231104,938,173,765,2023-11-04 周六,0.0,-3.0,3,2,2,3,36,1
36,冰雪大世界,20231105,1045,197,848,2023-11-05 周日,1.0,-3.0,3,7,2,3,42,1
37,冰雪大世界,20231106,1698,720,978,2023-11-06 周一,-2.0,-9.0,12,10,2,5,37,1
38,冰雪大世界,20231107,1446,533,913,2023-11-07 周二,-5.0,-17.0,8,2,7,2,29,1
39,冰雪大世界,20231108,1434,513,921,2023-11-08 周三,-5.0,-15.0,11,2,4,2,61,2
40,冰雪大世界,20231109,1422,524,898,2023-11-09 周四,-3.0,-18.0,8,1,6,2,60,2
41,冰雪大世界,20231110,1347,422,925,2023-11-10 周五,-5.0,-15.0,8,2,7,3,43,1
42,冰雪大世界,20231111,1088,204,884,2023-11-11 周六,-7.0,-15.0,8,1,6,2,53,2
43,冰雪大世界,20231112,1122,218,904,2023-11-12 周日,-7.0,-11.0,8,1,6,2,79,2
44,冰雪大世界,20231113,1471,549,922,2023-11-13 周一,-3.0,-12.0,8,1,6,3,50,1
45,冰雪大世界,20231114,1541,577,964,2023-11-14 周二,0.0,-12.0,8,2,5,2,97,2
46,冰雪大世界,20231115,1463,561,902,2023-11-15 周三,0.0,-7.0,8,8,6,2,127,3
47,冰雪大世界,20231116,1455,549,906,2023-11-16 周四,0.0,-10.0,10,2,6,3,151,4
48,冰雪大世界,20231117,1434,499,935,2023-11-17 周五,-3.0,-7.0,3,9,8,2,44,1
49,冰雪大世界,20231118,1132,220,912,2023-11-18 周六,-3.0,-9.0,2,2,6,2,35,1
50,冰雪大世界,20231119,1215,257,958,2023-11-19 周日,-1.0,-11.0,3,1,8,3,41,1
51,冰雪大世界,20231120,1786,656,1130,2023-11-20 周一,3.0,-1.0,2,1,6,4,47,1
52,冰雪大世界,20231121,1706,606,1100,2023-11-21 周二,4.0,-8.0,4,2,6,2,67,2
53,冰雪大世界,20231122,1772,620,1152,2023-11-22 周三,0.0,-9.0,12,10,2,4,77,2
54,冰雪大世界,20231123,1546,549,997,2023-11-23 周四,-8.0,-22.0,8,1,1,4,21,1
55,冰雪大世界,20231124,1622,521,1101,2023-11-24 周五,-11.0,-21.0,3,1,7,3,27,1
56,冰雪大世界,20231125,1268,257,1011,2023-11-25 周六,-12.0,-23.0,3,2,6,2,38,1
57,冰雪大世界,20231126,1346,259,1087,2023-11-26 周日,-12.0,-19.0,4,2,2,1,80,2
58,冰雪大世界,20231127,1935,791,1144,2023-11-27 周一,-12.0,-22.0,2,2,1,1,116,3
59,冰雪大世界,20231128,1659,692,967,2023-11-28 周二,-13.0,-21.0,4,1,6,2,70,2
60,冰雪大世界,20231129,1743,727,1016,2023-11-29 周三,-13.0,-20.0,3,1,7,3,39,1
61,冰雪大世界,20231130,1761,772,989,2023-11-30 周四,-11.0,-22.0,3,1,6,3,38,1
62,冰雪大世界,20231201,1838,709,1129,2023-12-01 周五,-8.0,-17.0,8,1,6,2,70,2
63,冰雪大世界,20231202,1515,360,1155,2023-12-02 周六,-5.0,-17.0,8,1,6,2,71,2
64,冰雪大世界,20231203,1541,285,1256,2023-12-03 周日,-4.0,-13.0,8,1,5,4,63,2
65,冰雪大世界,20231204,1963,864,1099,2023-12-04 周一,0.0,-14.0,8,2,6,3,56,2
66,冰雪大世界,20231205,1976,760,1216,2023-12-05 周二,3.0,-8.0,8,2,5,4,134,3
67,冰雪大世界,20231206,1984,844,1140,2023-12-06 周三,-2.0,-18.0,8,2,6,3,27,1
68,冰雪大世界,20231207,1802,768,1034,2023-12-07 周四,-8.0,-15.0,8,2,6,2,34,1
