date,日期,客流,pre_flow,ma5_flow,ma10_flow
1,2022-01-01,18.27,,,
2,2022-01-02,16.03,18.27,,
3,2022-01-03,15.03,16.03,,
4,2022-01-04,12.52,15.03,,
5,2022-01-05,13.61,12.52,15.091999999999999,
6,2022-01-06,12.73,13.61,13.984,
7,2022-01-07,14.22,12.73,13.622,
8,2022-01-08,14.52,14.22,13.52,
9,2022-01-09,14.99,14.52,14.014,
10,2022-01-10,12.72,14.99,13.836000000000002,14.463999999999999
11,2022-01-11,12.82,12.72,13.854000000000003,13.919
12,2022-01-12,13.05,12.82,13.620000000000001,13.621
13,2022-01-13,12.74,13.05,13.264000000000001,13.392000000000001
14,2022-01-14,13.49,12.74,12.963999999999999,13.489
15,2022-01-15,14.98,13.49,13.416,13.626000000000001
16,2022-01-16,14.13,14.98,13.678,13.766
17,2022-01-17,12.99,14.13,13.666000000000002,13.643
18,2022-01-18,12.8,12.99,13.678,13.471
19,2022-01-19,12.84,12.8,13.548000000000002,13.256
20,2022-01-20,12.86,12.84,13.124,13.27
21,2022-01-21,12.83,12.86,12.864,13.271
22,2022-01-22,13.48,12.83,12.962,13.313999999999998
23,2022-01-23,13.74,13.48,13.15,13.414000000000001
24,2022-01-24,12.66,13.74,13.113999999999999,13.331
25,2022-01-25,12.790000000000001,12.66,13.1,13.112
26,2022-01-26,13.129999999999999,12.790000000000001,13.16,13.012
27,2022-01-27,13.28,13.129999999999999,13.12,13.041
28,2022-01-28,12.86,13.28,12.943999999999999,13.047
29,2022-01-29,12.44,12.86,12.9,13.007
30,2022-01-30,11.36,12.44,12.614,12.857
31,2022-01-31,9.3,11.36,11.847999999999999,12.504000000000001
32,2022-02-01,15.51,9.3,12.294,12.706999999999999
33,2022-02-02,16.72,15.51,13.065999999999999,13.005
34,2022-02-03,16.62,16.72,13.901999999999997,13.401
35,2022-02-04,17.15,16.62,15.059999999999999,13.837
36,2022-02-05,16.72,17.15,16.544,14.196000000000002
37,2022-02-06,17.03,16.72,16.848,14.571000000000002
38,2022-02-07,14.91,17.03,16.485999999999997,14.776
39,2022-02-08,15.06,14.91,16.174,15.038
40,2022-02-09,15.52,15.06,15.847999999999999,15.453999999999999
41,2022-02-10,14.73,15.52,15.45,15.997
42,2022-02-11,12.82,14.73,14.608,15.728
43,2022-02-12,14.52,12.82,14.530000000000001,15.508000000000001
44,2022-02-13,14.84,14.52,14.486,15.330000000000002
45,2022-02-14,14.0,14.84,14.181999999999999,15.015
46,2022-02-15,16.35,14.0,14.506,14.978
47,2022-02-16,13.07,16.35,14.556000000000001,14.581999999999999
48,2022-02-17,13.66,13.07,14.384,14.456999999999999
49,2022-02-18,14.26,13.66,14.268,14.376999999999999
50,2022-02-19,14.42,14.26,14.352,14.267000000000001
51,2022-02-20,14.15,14.42,13.912,14.209
52,2022-02-21,13.05,14.15,13.908000000000001,14.232
53,2022-02-22,13.05,13.05,13.786000000000001,14.084999999999999
54,2022-02-23,13.200000000000001,13.05,13.574000000000002,13.921000000000001
55,2022-02-24,14.16,13.200000000000001,13.522,13.937000000000001
56,2022-02-25,14.94,14.16,13.680000000000001,13.796000000000001
57,2022-02-26,15.91,14.94,14.252,14.080000000000002
