date,日期,最高温,最低温,天气1,天气2,风向,风力,空气质量,质量等级
1,2022-01-01 周六,-13.0,-23.0,14,14,4,2,107,3
2,2022-01-02 周日,-11.0,-22.0,1,1,6,3,55,2
3,2022-01-03 周一,-11.0,-21.0,2,1,6,2,52,2
4,2022-01-04 周二,-14.0,-22.0,2,2,6,2,80,2
5,2022-01-05 周三,-9.0,-22.0,2,14,5,2,94,2
6,2022-01-06 周四,-16.0,-24.0,2,1,7,2,110,3
7,2022-01-07 周五,-7.0,-17.0,2,2,5,3,114,3
8,2022-01-08 周六,-16.0,-23.0,2,2,8,2,83,2
9,2022-01-09 周日,-12.0,-18.0,2,14,5,2,93,2
10,2022-01-10 周一,-14.0,-25.0,15,2,8,2,169,4
11,2022-01-11 周二,-18.0,-25.0,2,1,8,2,54,2
12,2022-01-12 周三,-14.0,-24.0,2,1,5,2,118,3
13,2022-01-13 周四,-19.0,-25.0,2,1,8,2,147,3
14,2022-01-14 周五,-11.0,-19.0,2,14,4,2,134,3
15,2022-01-15 周六,-6.0,-22.0,13,14,6,3,79,2
16,2022-01-16 周日,-15.0,-26.0,2,1,7,2,40,1
17,2022-01-17 周一,-16.0,-27.0,2,1,8,2,61,2
18,2022-01-18 周二,-15.0,-27.0,2,2,8,1,86,2
19,2022-01-19 周三,-17.0,-27.0,2,1,8,2,112,3
20,2022-01-20 周四,-14.0,-26.0,2,1,6,2,143,3
21,2022-01-21 周五,-14.0,-26.0,2,1,3,1,272,5
22,2022-01-22 周六,-13.0,-25.0,2,1,1,2,160,4
23,2022-01-23 周日,-12.0,-24.0,2,1,7,2,146,3
24,2022-01-24 周一,-10.0,-23.0,2,2,2,1,279,5
25,2022-01-25 周二,-11.0,-19.0,2,14,2,1,221,5
26,2022-01-26 周三,-10.0,-22.0,13,2,6,2,209,5
27,2022-01-27 周四,-10.0,-23.0,2,2,6,2,194,4
28,2022-01-28 周五,-10.0,-21.0,2,1,6,3,55,2
29,2022-01-29 周六,-10.0,-20.0,2,1,6,2,54,2
30,2022-01-30 周日,-10.0,-22.0,2,1,7,2,74,2
31,2022-01-31 周一,-7.0,-23.0,2,1,6,1,123,3
32,2022-02-01 周二,-9.0,-22.0,2,1,6,2,164,4
33,2022-02-02 周三,-11.0,-23.0,2,1,6,2,56,2
34,2022-02-03 周四,-11.0,-22.0,2,1,6,2,59,2
35,2022-02-04 周五,-12.0,-23.0,2,1,7,2,70,2
36,2022-02-05 周六,-12.0,-25.0,2,2,7,2,67,2
37,2022-02-06 周日,-8.0,-21.0,4,1,6,2,67,2
38,2022-02-07 周一,-5.0,-19.0,2,1,6,2,96,2
39,2022-02-08 周二,-5.0,-16.0,2,1,6,2,87,2
40,2022-02-09 周三,0.0,-17.0,2,1,5,3,116,3
41,2022-02-10 周四,-5.0,-16.0,2,14,2,2,148,3
42,2022-02-11 周五,-8.0,-20.0,15,13,1,3,80,2
43,2022-02-12 周六,-9.0,-25.0,2,1,8,2,38,1
44,2022-02-13 周日,-11.0,-24.0,2,1,8,1,103,3
45,2022-02-14 周一,-14.0,-24.0,2,2,1,2,75,2
46,2022-02-15 周二,-13.0,-17.0,3,13,7,2,67,2
47,2022-02-16 周三,-12.0,-22.0,13,2,8,2,152,4
48,2022-02-17 周四,-8.0,-21.0,2,2,6,2,87,2
49,2022-02-18 周五,-8.0,-20.0,3,14,4,2,94,2
50,2022-02-19 周六,-11.0,-21.0,3,2,8,2,93,2
51,2022-02-20 周日,-11.0,-23.0,2,2,7,2,139,3
52,2022-02-21 周一,-10.0,-26.0,2,1,7,2,74,2
53,2022-02-22 周二,-11.0,-23.0,2,1,7,2,74,2
54,2022-02-23 周三,-8.0,-14.0,1,1,6,3,60,2
55,2022-02-24 周四,-3.0,-12.0,1,1,6,3,55,2
56,2022-02-25 周五,2.0,-10.0,1,2,6,3,60,2
57,2022-02-26 周六,0.0,-12.0,2,1,6,3,43,1
58,2022-02-27 周日,-1.0,-13.0,2,2,6,2,37,1
59,2022-02-28 周一,0.0,-11.0,2,1,6,2,49,1
60,2022-03-01 周二,0.0,-8.0,2,1,6,3,31,1
61,2022-03-02 周三,-2.0,-13.0,15,2,6,3,61,2
62,2022-03-03 周四,1.0,-6.0,1,2,6,2,64,2
63,2022-03-04 周五,3.0,-7.0,11,14,6,4,50,1
64,2022-03-05 周六,-3.0,-10.0,3,2,8,4,41,1
65,2022-03-06 周日,-1.0,-12.0,1,1,8,2,31,1
66,2022-03-07 周一,2.0,-9.0,2,1,5,2,65,2
67,2022-03-08 周二,4.0,-6.0,4,1,4,2,106,3
68,2022-03-09 周三,7.0,-1.0,1,1,4,2,144,3
69,2022-03-10 周四,8.0,-4.0,1,1,6,3,58,2
70,2022-03-11 周五,4.0,-8.0,1,1,7,3,58,2
71,2022-03-12 周六,4.0,-3.0,2,11,4,2,57,2
72,2022-03-13 周日,2.0,-5.0,2,2,1,2,30,1
73,2022-03-14 周一,0.0,-7.0,12,2,2,3,32,1
74,2022-03-15 周二,1.0,-4.0,4,13,3,2,44,1
75,2022-03-16 周三,-1.0,-11.0,2,1,8,3,30,1
76,2022-03-17 周四,-2.0,-12.0,1,1,7,3,24,1
77,2022-03-18 周五,-1.0,-9.0,2,2,2,2,43,1
78,2022-03-19 周六,0.0,-10.0,1,1,2,2,33,1
79,2022-03-20 周日,2.0,-9.0,1,1,7,2,38,1
80,2022-03-21 周一,2.0,-6.0,2,1,6,3,44,1
81,2022-03-22 周二,6.0,-4.0,1,1,6,3,32,1
82,2022-03-23 周三,9.0,0.0,2,2,6,3,55,2
83,2022-03-24 周四,8.0,0.0,2,5,5,3,81,2
84,2022-03-25 周五,6.0,-3.0,2,2,6,4,54,2
85,2022-03-26 周六,7.0,-2.0,11,11,8,2,42,1
86,2022-03-27 周日,6.0,-3.0,2,1,8,3,26,1
87,2022-03-28 周一,12.0,4.0,1,1,6,4,59,2
88,2022-03-29 周二,8.0,-5.0,11,2,6,4,55,2
89,2022-03-30 周三,6.0,-6.0,1,1,8,2,25,1
90,2022-03-31 周四,6.0,-4.0,1,1,8,3,30,1
91,2022-04-01 周五,8.0,-2.0,1,1,7,2,36,1
92,2022-04-02 周六,12.0,1.0,1,1,6,3,47,1
93,2022-04-03 周日,14.0,7.0,1,1,6,4,58,2
94,2022-04-04 周一,18.0,2.0,2,11,6,4,72,2
95,2022-04-05 周二,5.0,-6.0,3,1,7,5,73,2
96,2022-04-06 周三,4.0,-4.0,1,2,8,4,33,1
97,2022-04-07 周四,7.0,0.0,1,1,8,3,42,1
