date,日期,星期,year,month,is_weekend,is_holiday,season,最高温,最低温,天气1,天气2,风向,风力,空气质量,质量等级,东北虎林园,全部词条,pre_hot,ma5_hot,ma10_hot,冰雪大世界,北方森林动物园,哈尔滨伏尔加庄园,哈尔滨文化公园,哈尔滨旅游,哈尔滨极地馆,小土豆,尔滨,沙糖桔,萧红故居,龙塔,客流,pre_flow,ma5_flow,ma10_flow
10,2022-01-10,1,2022,1,0,0,1,-14.0,-25.0,15,2,8,2,169,4,154.0,1727.0,1889.0,1884.6,1967.2,847.0,0.0,69.0,61.0,210.0,178.0,0.0,0.0,0.0,0.0,208.0,12.72,14.99,13.836000000000002,14.464
11,2022-01-11,2,2022,1,0,0,1,-18.0,-25.0,2,1,8,2,54,2,155.0,1764.0,1727.0,1833.6,1949.8,776.0,0.0,126.0,66.0,210.0,109.0,0.0,0.0,0.0,124.0,198.0,12.82,12.72,13.854000000000005,13.919
12,2022-01-12,3,2022,1,0,0,1,-14.0,-24.0,2,1,5,2,118,3,161.0,1852.0,1764.0,1809.0,1932.7,754.0,61.0,130.0,74.0,232.0,171.0,0.0,0.0,0.0,65.0,204.0,13.05,12.82,13.62,13.621
13,2022-01-13,4,2022,1,0,0,1,-19.0,-25.0,2,1,8,2,147,3,170.0,1993.0,1852.0,1845.0,1915.2,836.0,59.0,66.0,125.0,219.0,162.0,0.0,0.0,0.0,134.0,222.0,12.74,13.05,13.264,13.392
14,2022-01-14,5,2022,1,0,0,1,-11.0,-19.0,2,14,4,2,134,3,175.0,1893.0,1993.0,1845.8,1888.8,826.0,0.0,124.0,70.0,189.0,177.0,0.0,0.0,0.0,130.0,202.0,13.49,12.74,12.964,13.489
15,2022-01-15,6,2022,1,1,1,1,-6.0,-22.0,13,14,6,3,79,2,164.0,1833.0,1893.0,1867.0,1875.8,790.0,0.0,122.0,70.0,208.0,227.0,0.0,0.0,0.0,66.0,186.0,14.98,13.49,13.416,13.626
16,2022-01-16,7,2022,1,1,1,1,-15.0,-26.0,2,1,7,2,40,1,186.0,1760.0,1833.0,1866.2,1849.9,730.0,0.0,133.0,69.0,235.0,130.0,0.0,0.0,0.0,66.0,211.0,14.13,14.98,13.678,13.766
17,2022-01-17,1,2022,1,0,0,1,-16.0,-27.0,2,1,8,2,61,2,174.0,1763.0,1760.0,1848.4,1828.7,712.0,0.0,132.0,61.0,221.0,184.0,0.0,0.0,0.0,63.0,216.0,12.99,14.13,13.666000000000002,13.643
18,2022-01-18,2,2022,1,0,0,1,-15.0,-27.0,2,2,8,1,86,2,155.0,1822.0,1763.0,1814.2,1829.6,680.0,0.0,120.0,134.0,204.0,177.0,0.0,0.0,0.0,137.0,215.0,12.8,12.99,13.678,13.471
19,2022-01-19,3,2022,1,0,0,1,-17.0,-27.0,2,1,8,2,112,3,170.0,1757.0,1822.0,1787.0,1816.4,600.0,0.0,129.0,124.0,216.0,157.0,0.0,0.0,0.0,124.0,237.0,12.84,12.8,13.548000000000002,13.256
