date,日期,客流
1,2022-01-01,18.27
2,2022-01-02,16.03
3,2022-01-03,15.03
4,2022-01-04,12.52
5,2022-01-05,13.61
6,2022-01-06,12.73
7,2022-01-07,14.22
8,2022-01-08,14.52
9,2022-01-09,14.99
10,2022-01-10,12.72
11,2022-01-11,12.82
12,2022-01-12,13.05
13,2022-01-13,12.74
14,2022-01-14,13.49
15,2022-01-15,14.98
16,2022-01-16,14.13
17,2022-01-17,12.99
18,2022-01-18,12.8
19,2022-01-19,12.84
20,2022-01-20,12.86
21,2022-01-21,12.83
22,2022-01-22,13.48
23,2022-01-23,13.74
24,2022-01-24,12.66
25,2022-01-25,12.790000000000001
26,2022-01-26,13.129999999999999
27,2022-01-27,13.28
28,2022-01-28,12.86
29,2022-01-29,12.44
30,2022-01-30,11.36
31,2022-01-31,9.3
32,2022-02-01,15.51
33,2022-02-02,16.72
34,2022-02-03,16.62
35,2022-02-04,17.15
36,2022-02-05,16.72
37,2022-02-06,17.03
38,2022-02-07,14.91
39,2022-02-08,15.06
40,2022-02-09,15.52
41,2022-02-10,14.73
42,2022-02-11,12.82
43,2022-02-12,14.52
44,2022-02-13,14.84
45,2022-02-14,14.0
46,2022-02-15,16.35
47,2022-02-16,13.07
48,2022-02-17,13.66
49,2022-02-18,14.26
50,2022-02-19,14.42
51,2022-02-20,14.15
52,2022-02-21,13.05
53,2022-02-22,13.05
54,2022-02-23,13.200000000000001
55,2022-02-24,14.16
56,2022-02-25,14.94
57,2022-02-26,15.91
58,2022-02-27,15.12
59,2022-02-28,13.53
60,2022-03-01,12.290000000000001
61,2022-03-02,11.25
62,2022-03-03,11.57
63,2022-03-04,11.29
64,2022-03-05,11.65
65,2022-03-06,14.37
66,2022-03-07,14.66
67,2022-03-08,17.1
68,2022-03-09,15.44
69,2022-03-10,15.91
70,2022-03-11,14.97
71,2022-03-12,14.98
72,2022-03-13,13.97
73,2022-03-14,13.06
74,2022-03-15,13.1
75,2022-03-16,12.64
76,2022-03-17,12.72
77,2022-03-18,12.790000000000001
78,2022-03-19,12.61
79,2022-03-20,12.89
80,2022-03-21,12.77
81,2022-03-22,13.34
82,2022-03-23,14.08
83,2022-03-24,13.65
84,2022-03-25,13.6
85,2022-03-26,14.76
86,2022-03-27,14.09
87,2022-03-28,13.9
88,2022-03-29,11.93
89,2022-03-30,13.88
90,2022-03-31,13.38
91,2022-04-01,14.39
92,2022-04-02,14.98
93,2022-04-03,17.01
94,2022-04-04,13.01
95,2022-04-05,10.82
96,2022-04-06,11.75
97,2022-04-07,11.82
98,2022-04-08,12.1
99,2022-04-09,13.33
100,2022-04-10,12.68
101,2022-04-11,13.55
102,2022-04-12,16.95
103,2022-04-13,17.22
104,2022-04-14,16.35
105,2022-04-15,16.4
106,2022-04-16,16.66
107,2022-04-17,16.16
108,2022-04-18,13.92
109,2022-04-19,13.379999999999999
110,2022-04-20,12.68
111,2022-04-21,11.81
112,2022-04-22,11.43
113,2022-04-23,11.09
114,2022-04-24,11.68
115,2022-04-25,12.5
116,2022-04-26,12.5
117,2022-04-27,12.61
118,2022-04-28,13.129999999999999
119,2022-04-29,13.22
120,2022-04-30,11.94
121,2022-05-01,12.01
122,2022-05-02,13.44
123,2022-05-03,13.55
124,2022-05-04,13.41
125,2022-05-05,14.16
126,2022-05-06,14.99
127,2022-05-07,18.52
128,2022-05-08,24.15
129,2022-05-09,21.87
130,2022-05-10,20.53
131,2022-05-11,17.43
132,2022-05-12,19.57
133,2022-05-13,19.0
134,2022-05-14,25.23
135,2022-05-15,24.43
136,2022-05-16,21.01
137,2022-05-17,21.32
138,2022-05-18,23.419999999999998
139,2022-05-19,21.27
140,2022-05-20,25.66
141,2022-05-21,30.09
142,2022-05-22,30.44
