date,日期,星期
1,2022-01-01,6
2,2022-01-02,7
3,2022-01-03,1
4,2022-01-04,2
5,2022-01-05,3
6,2022-01-06,4
7,2022-01-07,5
8,2022-01-08,6
9,2022-01-09,7
10,2022-01-10,1
11,2022-01-11,2
12,2022-01-12,3
13,2022-01-13,4
14,2022-01-14,5
15,2022-01-15,6
16,2022-01-16,7
17,2022-01-17,1
18,2022-01-18,2
19,2022-01-19,3
20,2022-01-20,4
21,2022-01-21,5
22,2022-01-22,6
23,2022-01-23,7
24,2022-01-24,1
25,2022-01-25,2
26,2022-01-26,3
27,2022-01-27,4
28,2022-01-28,5
29,2022-01-29,6
30,2022-01-30,7
31,2022-01-31,1
32,2022-02-01,2
33,2022-02-02,3
34,2022-02-03,4
35,2022-02-04,5
36,2022-02-05,6
37,2022-02-06,7
38,2022-02-07,1
39,2022-02-08,2
40,2022-02-09,3
41,2022-02-10,4
42,2022-02-11,5
43,2022-02-12,6
44,2022-02-13,7
45,2022-02-14,1
46,2022-02-15,2
47,2022-02-16,3
48,2022-02-17,4
49,2022-02-18,5
50,2022-02-19,6
51,2022-02-20,7
52,2022-02-21,1
53,2022-02-22,2
54,2022-02-23,3
55,2022-02-24,4
56,2022-02-25,5
57,2022-02-26,6
58,2022-02-27,7
59,2022-02-28,1
60,2022-03-01,2
61,2022-03-02,3
62,2022-03-03,4
63,2022-03-04,5
64,2022-03-05,6
65,2022-03-06,7
66,2022-03-07,1
67,2022-03-08,2
68,2022-03-09,3
69,2022-03-10,4
70,2022-03-11,5
71,2022-03-12,6
72,2022-03-13,7
73,2022-03-14,1
74,2022-03-15,2
75,2022-03-16,3
76,2022-03-17,4
77,2022-03-18,5
78,2022-03-19,6
79,2022-03-20,7
80,2022-03-21,1
81,2022-03-22,2
82,2022-03-23,3
83,2022-03-24,4
84,2022-03-25,5
85,2022-03-26,6
86,2022-03-27,7
87,2022-03-28,1
88,2022-03-29,2
89,2022-03-30,3
90,2022-03-31,4
91,2022-04-01,5
92,2022-04-02,6
93,2022-04-03,7
94,2022-04-04,1
95,2022-04-05,2
96,2022-04-06,3
97,2022-04-07,4
98,2022-04-08,5
99,2022-04-09,6
100,2022-04-10,7
101,2022-04-11,1
102,2022-04-12,2
103,2022-04-13,3
104,2022-04-14,4
105,2022-04-15,5
106,2022-04-16,6
107,2022-04-17,7
108,2022-04-18,1
109,2022-04-19,2
110,2022-04-20,3
111,2022-04-21,4
112,2022-04-22,5
113,2022-04-23,6
114,2022-04-24,7
115,2022-04-25,1
116,2022-04-26,2
117,2022-04-27,3
118,2022-04-28,4
119,2022-04-29,5
120,2022-04-30,6
121,2022-05-01,7
122,2022-05-02,1
123,2022-05-03,2
124,2022-05-04,3
125,2022-05-05,4
126,2022-05-06,5
127,2022-05-07,6
128,2022-05-08,7
129,2022-05-09,1
130,2022-05-10,2
131,2022-05-11,3
132,2022-05-12,4
133,2022-05-13,5
134,2022-05-14,6
135,2022-05-15,7
136,2022-05-16,1
137,2022-05-17,2
138,2022-05-18,3
139,2022-05-19,4
140,2022-05-20,5
141,2022-05-21,6
142,2022-05-22,7
143,2022-05-23,1
144,2022-05-24,2
145,2022-05-25,3
146,2022-05-26,4
147,2022-05-27,5
148,2022-05-28,6
149,2022-05-29,7
150,2022-05-30,1
151,2022-05-31,2
152,2022-06-01,3
153,2022-06-02,4
154,2022-06-03,5
155,2022-06-04,6
156,2022-06-05,7
157,2022-06-06,1
158,2022-06-07,2
159,2022-06-08,3
160,2022-06-09,4
161,2022-06-10,5
162,2022-06-11,6
163,2022-06-12,7
164,2022-06-13,1
165,2022-06-14,2
166,2022-06-15,3
