日期,景点,省份,市,客流指数
2022-1-1,斯大林公园,黑龙江省,哈尔滨市,4.68
2022-1-1,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,2.8
2022-1-1,中华巴洛克,黑龙江省,哈尔滨市,1.91
2022-1-1,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.38
2022-1-1,儿童公园,黑龙江省,哈尔滨市,1.28
2022-1-1,圣索菲亚教堂,黑龙江省,哈尔滨市,1.02
2022-1-1,二龙山风景区,黑龙江省,哈尔滨市,0.69
2022-1-1,龙塔,黑龙江省,哈尔滨市,0.59
2022-1-1,哈尔滨文化公园,黑龙江省,哈尔滨市,0.57
2022-1-1,哈尔滨极地馆,黑龙江省,哈尔滨市,0.56
2022-1-1,群力丁香公园,黑龙江省,哈尔滨市,0.48
2022-1-1,黑龙江省博物馆,黑龙江省,哈尔滨市,0.41
2022-1-1,东北虎林园,黑龙江省,哈尔滨市,0.36
2022-1-1,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.33
2022-1-1,古梨园,黑龙江省,哈尔滨市,0.32
2022-1-1,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.3
2022-1-1,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.24
2022-1-1,北方森林动物园,黑龙江省,哈尔滨市,0.18
2022-1-1,萧红故居,黑龙江省,哈尔滨市,0.16
2022-1-1,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-2,斯大林公园,黑龙江省,哈尔滨市,3.46
2022-1-2,中华巴洛克,黑龙江省,哈尔滨市,1.98
2022-1-2,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,1.89
2022-1-2,儿童公园,黑龙江省,哈尔滨市,1.31
2022-1-2,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.27
2022-1-2,圣索菲亚教堂,黑龙江省,哈尔滨市,0.88
2022-1-2,龙塔,黑龙江省,哈尔滨市,0.7
2022-1-2,二龙山风景区,黑龙江省,哈尔滨市,0.62
2022-1-2,哈尔滨文化公园,黑龙江省,哈尔滨市,0.6
2022-1-2,哈尔滨极地馆,黑龙江省,哈尔滨市,0.57
2022-1-2,黑龙江省博物馆,黑龙江省,哈尔滨市,0.44
2022-1-2,群力丁香公园,黑龙江省,哈尔滨市,0.43
2022-1-2,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.36
2022-1-2,东北虎林园,黑龙江省,哈尔滨市,0.33
2022-1-2,古梨园,黑龙江省,哈尔滨市,0.32
2022-1-2,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.29
2022-1-2,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.27
2022-1-2,北方森林动物园,黑龙江省,哈尔滨市,0.15
2022-1-2,萧红故居,黑龙江省,哈尔滨市,0.15
2022-1-2,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-3,斯大林公园,黑龙江省,哈尔滨市,2.93
2022-1-3,中华巴洛克,黑龙江省,哈尔滨市,1.97
2022-1-3,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,1.53
2022-1-3,儿童公园,黑龙江省,哈尔滨市,1.38
2022-1-3,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.2
2022-1-3,圣索菲亚教堂,黑龙江省,哈尔滨市,0.9
2022-1-3,哈尔滨文化公园,黑龙江省,哈尔滨市,0.67
2022-1-3,二龙山风景区,黑龙江省,哈尔滨市,0.61
2022-1-3,龙塔,黑龙江省,哈尔滨市,0.52
2022-1-3,哈尔滨极地馆,黑龙江省,哈尔滨市,0.48
2022-1-3,群力丁香公园,黑龙江省,哈尔滨市,0.45
2022-1-3,黑龙江省博物馆,黑龙江省,哈尔滨市,0.41
2022-1-3,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.38
2022-1-3,古梨园,黑龙江省,哈尔滨市,0.32
2022-1-3,东北虎林园,黑龙江省,哈尔滨市,0.31
2022-1-3,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.29
2022-1-3,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.28
2022-1-3,萧红故居,黑龙江省,哈尔滨市,0.21
2022-1-3,北方森林动物园,黑龙江省,哈尔滨市,0.17
2022-1-3,香炉山国家森林公园,黑龙江省,哈尔滨市,0.02
2022-1-4,中华巴洛克,黑龙江省,哈尔滨市,1.93
2022-1-4,斯大林公园,黑龙江省,哈尔滨市,1.71
2022-1-4,儿童公园,黑龙江省,哈尔滨市,1.38
2022-1-4,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.14
2022-1-4,圣索菲亚教堂,黑龙江省,哈尔滨市,0.84
2022-1-4,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.78
2022-1-4,龙塔,黑龙江省,哈尔滨市,0.66
